title,title_type,genre,runtime,mpaa_rating,thtr_rel_year,thtr_rel_month,thtr_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director,imdb_url,rt_url
Filly Brown,Feature Film,Drama,80.0,R,2013.0,4.0,19.0,5.5,899,Rotten,45.0,Upright,73.0,no,no,no,no,no,no,Michael D. Olmos,http://www.imdb.com/title/tt1869425/,//www.rottentomatoes.com/m/filly_brown_2012/
The Dish,Feature Film,Drama,101.0,PG-13,2001.0,3.0,14.0,7.3,12285,Certified Fresh,96.0,Upright,81.0,no,no,no,no,no,no,Rob Sitch,http://www.imdb.com/title/tt0205873/,//www.rottentomatoes.com/m/dish/
Waiting for Guffman,Feature Film,Comedy,84.0,R,1996.0,8.0,21.0,7.6,22381,Certified Fresh,91.0,Upright,91.0,no,no,no,no,no,no,Christopher Guest,http://www.imdb.com/title/tt0118111/,//www.rottentomatoes.com/m/waiting_for_guffman/
The Age of Innocence,Feature Film,Drama,139.0,PG,1993.0,10.0,1.0,7.2,35096,Certified Fresh,80.0,Upright,76.0,no,no,yes,no,yes,no,Martin Scorsese,http://www.imdb.com/title/tt0106226/,//www.rottentomatoes.com/m/age_of_innocence/
Malevolence,Feature Film,Horror,90.0,R,2004.0,9.0,10.0,5.1,2386,Rotten,33.0,Spilled,27.0,no,no,no,no,no,no,Stevan Mena,http://www.imdb.com/title/tt0388230/,//www.rottentomatoes.com/m/10004684-malevolence/
Old Partner,Documentary,Documentary,78.0,Unrated,2009.0,1.0,15.0,7.8,333,Fresh,91.0,Upright,86.0,no,no,no,no,no,no,Chung-ryoul Lee,http://www.imdb.com/title/tt1334549/,//www.rottentomatoes.com/m/old-partner/
Lady Jane,Feature Film,Drama,142.0,PG-13,1986.0,1.0,1.0,7.2,5016,Rotten,57.0,Upright,76.0,no,no,no,no,no,no,Trevor Nunn,http://www.imdb.com/title/tt0091374/,//www.rottentomatoes.com/m/lady_jane/
Mad Dog Time,Feature Film,Drama,93.0,R,1996.0,11.0,8.0,5.5,2272,Rotten,17.0,Spilled,47.0,no,no,yes,no,no,no,Larry Bishop,http://www.imdb.com/title/tt0116953/,//www.rottentomatoes.com/m/mad_dog_time/
Beauty Is Embarrassing,Documentary,Documentary,88.0,Unrated,2012.0,9.0,7.0,7.5,880,Fresh,90.0,Upright,89.0,no,no,no,no,no,no,Neil Berkeley,http://www.imdb.com/title/tt2040281/,//www.rottentomatoes.com/m/beauty_is_embarrassing/
The Snowtown Murders,Feature Film,Drama,119.0,Unrated,2012.0,3.0,2.0,6.6,12496,Certified Fresh,83.0,Upright,66.0,no,no,no,no,no,no,Justin Kurzel,http://www.imdb.com/title/tt1680114/,//www.rottentomatoes.com/m/the_snowtown_murders/
Superman II,Feature Film,Action & Adventure,127.0,PG,1981.0,6.0,19.0,6.8,71979,Certified Fresh,89.0,Upright,75.0,no,no,yes,no,no,yes,Richard Lester,http://www.imdb.com/title/tt0081573/,//www.rottentomatoes.com/m/superman_ii/
Leap of Faith,Feature Film,Drama,108.0,PG-13,1992.0,12.0,18.0,6.0,9669,Fresh,67.0,Spilled,46.0,no,no,no,no,no,no,Richard Pearce,http://www.imdb.com/title/tt0104695/,//www.rottentomatoes.com/m/1042059-leap_of_faith/
The Royal Tenenbaums,Feature Film,Comedy,110.0,R,2002.0,1.0,4.0,7.6,201779,Certified Fresh,80.0,Upright,89.0,no,no,yes,yes,no,no,Wes Anderson,http://www.imdb.com/title/tt0265666/,//www.rottentomatoes.com/m/the_royal_tenenbaums/
School for Scoundrels,Feature Film,Comedy,100.0,PG-13,2006.0,9.0,23.0,5.9,25808,Rotten,25.0,Spilled,53.0,no,no,no,no,no,no,Todd Phillips,http://www.imdb.com/title/tt0462519/,//www.rottentomatoes.com/m/school_for_scoundrels/
